Název potraviny;Energie (kJ);Bílkoviny (g);SAFA (g);Tuky (g);Cukry (g);Sacharidy (g);Vláknina (g);Sůl (g);Náhrada (optional)
Activia ananas jogurt;392;3.6;1.7;2.7;12.9;13.5;0.1;0.13;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Activia borůvka jogurt;383;3.7;1.7;2.8;12;12.7;0.3;0.15;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Activia jahoda jogurt;391;3.6;1.7;2.7;13.1;13.5;0.2;0.15;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Activia malina jogurt;383;3.8;1.8;2.8;13;13.2;0.2;0.14;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Activia meruňka jogurt;385;3.6;1.7;2.7;12.6;13;0.2;0.16;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Activia müsli jogurt s vlákninou;410;3.8;1.7;3;12.6;13.6;1.8;0.14;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Activia višeň jogurt;370;3.4;1.7;2.7;12;12.5;0.1;0.14;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Activia čokoládové müsli s oříšky;485;4.9;2.4;5.2;7.2;11.9;0.8;0.15;Vhodnější je přidat si do bílého jogurtu ovesné vločky nebo sypané müsli, které obsahují méně tuku a přidaného cukru.
Activia medové müsli s oříšky;468;5;2.3;5;6.5;11.3;0.9;0.18;Vhodnější je přidat si do bílého jogurtu ovesné vločky nebo sypané müsli, které obsahují méně tuku a přidaného cukru.
Babiččin jogurt ochucený (Ehrmann);476;4;1.5;2.7;17;18.1;0.2;0.1;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Basic bílý jogurt;283;3.8;1.8;3.8;4.2;4.6;0;0.1;Tento jogurt můžete zařazovat do jídelníčku.
Bio jogurt bílý Via Natur (Olma);320;5;2.5;4.2;4.8;4.8;0.1;0.13;Tento jogurt můžete zařazovat do jídelníčku.
Boni jogurt bílý 0,1 % tuku;177;5.7;0.1;0.1;4.5;4.5;0.2;0.1;Tento jogurt je vhodné zařazovat do jídelníčku, můžete ho občas nahradit jogurtem polotučným, který má lepší senzorické vlastnosti a obsah tuku není zas tak vysoký.
Boni jogurt bílý;280;4.9;2;3;5;5;0.1;0.1;Tento jogurt můžete zařazovat do jídelníčku.
Boni jogurt jahodový smetanový;603;2.7;5;8.4;14;15;0.2;0.1;Vhodnější alternativou je polotučný nebo nízkotučný bílý jogurt, do kterého si můžete přidat ovoce.
Boni jogurt odtučněný ochucený;300;4.7;0;0.1;12;12.5;0.2;0.1;Při výběru jogurtu je důležitější sledovat obsah cukru než tuku, rozdíl mezi nízkotučným a polotučným jogurtem není tak významný. Proto raději volte jogurty light, které můžou být polotučné, ale neobsahují přidaný cukr, jsou vhodnější nežli nízkotučné jogurty s cukrem.
Boni jogurt krémový borůvkový;451;2.9;1.3;2.9;16;17;0.2;0.1;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce.
Boni jogurt krémový stracciatella;506;3;1.3;4.8;15;16;0.2;0.1;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Crema jogurt (Müller);400;3.7;0.9;1.4;14.8;15.8;0.2;0.15;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Danone plný jahod;461;3.1;2.9;4.6;13.4;13.8;0.2;0.1;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Danone plný meruněk;460;3.2;2.9;4.7;13.2;13.6;0.2;0.1;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Danone plný višní;451;3.2;2.9;4.6;13.2;13.3;0.1;0.1;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Deluxe jogurt (Meggle);770;3.2;6.4;9.5;21;21;0.1;0.1;Vhodnější alternativou je polotučný nebo nízkotučný bílý jogurt, do kterého si můžete přidat například trochu kakaa nebo ovoce. Občas můžete konzumovat ochucené jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Ehrmann jogurt extra ve skle;440;3;1.7;2.5;18;18;0.2;0.1;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Elinas Jogurt řeckého typu bílý;470;3.3;6.3;9.4;3.9;3.9;0.1;0.13;Vhodnější alternativou je polotučný bílý jogurt, který obsahuje výrazně méně tuku a energie.
Elinas Jogurt řeckého typu oříškovo-medová;595;2.7;4.6;7.8;12.9;15.3;0.1;0.15;Vhodnější alternativou je polotučný nebo nízkotučný bílý jogurt, do kterého si můžete přidat trochu medu nebo ovoce.
Elinas Jogurt řeckého typu ovocný;590;2.6;4.2;7;15;17;0.2;0.15;Vhodnější alternativou je polotučný nebo nízkotučný bílý jogurt, do kterého si můžete přidat ovoce.
Esencia jogurt s podmáslím (Müller);391;4.5;0.6;0.9;15;15.7;0.2;0.18;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Fantasia čokoládové inspirace s čokofleky;633;3.3;5;8.2;13;16.3;0.2;0.18;Vhodnější alternativou je polotučný nebo nízkotučný bílý jogurt, do kterého si můžete přidat například kakao nebo ovoce. Občas můžete konzumovat ochucené jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Fantasia čokoládové inspirace s mléčnou čokoládou;729;3.5;6.4;9.8;17;17;0.2;0.12;Vhodnější alternativou je polotučný nebo nízkotučný bílý jogurt, do kterého si můžete přidat například kakao nebo ovoce. Občas můžete konzumovat ochucené jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Fantasia čokoládové pokušení s čokokuličkami;619;3;5.1;8.2;13.9;15.6;0.2;0.14;Vhodnější alternativou je polotučný nebo nízkotučný bílý jogurt, do kterého si můžete přidat například kakao nebo ovoce. Občas můžete konzumovat ochucené jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Fantasia jogurt s ovocem;500;2.2;3.5;5.4;15.4;15.6;0.1;0.09;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Fantasia Mousse s čokoládou a mandlemi;809;3.5;4.3;7.5;23;28;0.2;0.14;Vhodnější alternativou je polotučný nebo nízkotučný bílý jogurt, do kterého si můžete přidat například ovoce nebo kakao. Občas můžete konzumovat ovocné jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Fantasia Mousse s jahodami;625;3;3.7;5.8;20;21;0.2;0.14;Vhodnější alternativou je polotučný nebo nízkotučný bílý jogurt, do kterého si můžete přidat například ovoce nebo kakao. Občas můžete konzumovat ovocné jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Farmář jogurt broskev maracuja;404;3.2;1.5;3.1;13;14;0.2;0.1;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce.
Farmář jogurt jahoda;430;2.9;2.1;2.9;14;16;0.2;0.1;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce.
Farmář jogurt malina;393;3.2;1.5;3.2;12;13;0.2;0.1;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce.
Farmář jogurt třešeň;407;3.2;1.5;3.1;13;14;0.2;0.1;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce.
Farmářský jogurt bílý;314;4.2;2.5;3.8;3.9;6;0.1;0.1;Tento jogurt můžete zařazovat do jídelníčku.
Farmářský jogurt borůvka;445;3.5;2;3.1;14;16.1;0.2;0.1;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce.
Farmářský jogurt jahoda;423;3.4;2;3.1;12.2;14.8;0.2;0.1;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce.
Farmářský jogurt meruňka;422;3.4;2;3.1;12.3;14.7;0.2;0.1;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce.
Fineé Creamy Yogurt (K-Classic);603;2.7;5;8.4;14;15;0.2;0.1;Vhodnější alternativou je polotučný nebo nízkotučný bílý jogurt, do kterého si můžete přidat ovoce. Občas můžete konzumovat ovocné jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Florian Active bílý a müsli;380;5.3;1.7;2.6;5.9;11.5;1;0.1;Tento jogurt můžete zařazovat do jídelníčku. Ještě vhodnější je přidat si do bílého polotučného či nízkotučného jogurtu místo připravených směsí müsli ovesné vločky s trochou čerstvého ovoce.
Florian Active ochucený;400;4.1;1.5;2.2;13.7;14;0.2;0.1;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce.
Florian Lahodně dobrý jogurt;380;4.1;1.4;2.3;12.8;13.3;0;0.1;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce.
Florian smetanové pokušení;600;2.7;5;8.4;13.9;14.5;0.1;0.08;Vhodnější alternativou je polotučný nebo nízkotučný bílý jogurt, do kterého si můžete přidat ovoce.
Froop jogurt ovocný (Müller);450;3.9;1.5;2.2;15.3;17;0.2;0.18;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Grácia jogurt dezertní stracciatella (Müller);590;4.1;3.6;5.3;18;18;0.1;0.12;Raději vybírejte jogurty bez přidaného cukru a s nižším obsahem tuku, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Grácia jogurt dezertní vanilka (Müller);490;4.1;2.6;3.9;15.4;15.4;0.1;0.12;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat například kakao nebo trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Grácia jogurt ovocný (Müller);440;3;2.7;4;14;14;0.1;0.12;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Hollandia Aktivní jogurt ovocný;370;3;2.3;3;11.5;12.5;0.2;0.12;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Hollandia Aktivní jogurt ovocný s vlákninou;420;3.2;2.3;3.1;13;15.5;0.4;0.12;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Hollandia jogurt krémový bílý;283;3.8;1.8;3.8;4.2;4.6;0;0.12;Tento jogurt můžete zařazovat do jídelníčku.
Hollandia jogurt krémový čoko-nugát;423;3.5;1.6;3.8;12;13;0.2;0.12;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce.
Hollandia jogurt krémový jahoda;413;3.2;1.5;3.2;13;14;0.2;0.12;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce.
Hollandia jogurt krémový vanilka;441;3.1;1.5;3.1;15;16;0.1;0.12;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce.
Hollandia Selský jogurt bílý;279;3.7;2.6;3.8;3.4;4.5;0.1;0.12;Tento jogurt můžete zařazovat do jídelníčku.
Hollandia Selský jogurt čokoláda;384;3.2;2.3;3.3;12;12;0.2;0.12;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce.
Hollandia Selský jogurt irská káva;417;2.9;2.2;3.1;14;15;0.2;0.27;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce.
Hollandia Selský jogurt ovocný;380;3;2.2;3.1;12;12;0.2;0.11;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce.
Hollandia Selský jogurt Stevia;320;2.9;1.7;3.1;8;9;0.2;0.12;Vhodnější jsou bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce.
Hollandia Selský jogurt toffee karamel;400;3.2;2.5;3.6;12;12;0.2;0.12;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce.
Choceňský smetanový jogurt bílý;502;3.5;6.1;10.2;3.8;3.8;0;0.1;Vhodnější alternativou je polotučný bílý jogurt, který obsahuje výrazně méně tuku a energie.
Choceňský smetanový jogurt ochucený;566;3;5.5;8.4;9.2;12;0.2;0.1;Vhodnější alternativou je polotučný nebo nízkotučný bílý jogurt, do kterého si můžete přidat ovoce.
Jihočeský jogurt bílý (Agro-la);360;5.9;2.3;3.5;5.1;5.1;0;0.2;Tento jogurt můžete zařazovat do jídelníčku.
Jihočeský jogurt ochucený (Agro-la);400;5;1.9;2.8;10;10;0.2;0.2;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce.
